Drug_A;Drug_B;Level
Salbutamol;Ioversol;Unknown
Salbutamol;Iopromide;Unknown
Salbutamol;Vitamin D;Unknown
Salbutamol;Clobetasol;Unknown
Salbutamol;Loteprednol etabonate;Unknown
Allopurinol;Cromoglicic acid;Unknown
Montelukast;Cromoglicic acid;Unknown
Duloxetine;Cromoglicic acid;Unknown
Simvastatin;Cromoglicic acid;Unknown
Nystatin;Cromoglicic acid;Unknown
Olopatadine;Cromoglicic acid;Unknown
Telmisartan;Cromoglicic acid;Unknown
Ezetimibe;Cromoglicic acid;Unknown
Cromoglicic acid;Levetiracetam;Unknown
Cromoglicic acid;Clarithromycin;Unknown
Cromoglicic acid;Tiotropium;Unknown
Cromoglicic acid;Clobetasol;Unknown
Cromoglicic acid;Fluticasone;Unknown
Hydrocortisone;Ganciclovir;Unknown
Prednisolone;Ganciclovir;Unknown
Loratadine;Hydroxyurea;Unknown
Montelukast;Hydroxyurea;Unknown
Triamcinolone;Hydroxyurea;Unknown
Prednisolone;Hydroxyurea;Unknown
Hydroxyurea;Ibuprofen;Unknown
Hydroxyurea;Promethazine;Unknown
Hydroxyurea;Tiotropium;Unknown
Hydroxyurea;Fluticasone;Unknown
Loratadine;Letrozole;Unknown
Montelukast;Letrozole;Unknown
Triamcinolone;Letrozole;Unknown
Prednisolone;Letrozole;Unknown
Salmeterol;Letrozole;Unknown
Letrozole;Promethazine;Unknown
Letrozole;Tiotropium;Unknown
Letrozole;Fluticasone;Unknown
Hydrocortisone;Busulfan;Unknown
Prednisolone;Busulfan;Unknown
Busulfan;Dexamethasone;Unknown
Loratadine;Ketoprofen;Unknown
Montelukast;Ketoprofen;Unknown
Olopatadine;Ketoprofen;Unknown
Salmeterol;Ketoprofen;Unknown
Cromoglicic acid;Ketoprofen;Unknown
Ketoprofen;Promethazine;Unknown
Ketoprofen;Aminophylline;Unknown
Ketoprofen;Fluticasone;Unknown
Montelukast;Cinacalcet;Unknown
Lidocaine;Glyburide;Unknown
Loratadine;Glyburide;Unknown
Montelukast;Glyburide;Unknown
Desloratadine;Glyburide;Unknown
Glyburide;Tiotropium;Unknown
Montelukast;Minocycline;Unknown
Triamcinolone;Minocycline;Unknown
Prednisolone;Minocycline;Unknown
Minocycline;Promethazine;Unknown
Montelukast;Isosorbide mononitrate;Unknown
Desloratadine;Isosorbide mononitrate;Unknown
Isosorbide mononitrate;Tiotropium;Unknown
Isosorbide mononitrate;Fluticasone;Unknown
Nitric Oxide;Phylloquinone;Unknown
Montelukast;Phylloquinone;Unknown
Prednisolone;Phylloquinone;Unknown
Phylloquinone;Promethazine;Unknown
Phylloquinone;Fluticasone;Unknown
Flunisolide;Felodipine;Unknown
Lidocaine;Felodipine;Unknown
Loratadine;Felodipine;Unknown
Montelukast;Felodipine;Unknown
Salmeterol;Felodipine;Unknown
Fexofenadine;Felodipine;Unknown
Desloratadine;Felodipine;Unknown
Formoterol;Felodipine;Unknown
Felodipine;Tiotropium;Unknown
Felodipine;Fluticasone;Unknown
Montelukast;Ketoconazole;Unknown
Ketoconazole;Tiotropium;Unknown
Loratadine;Irbesartan;Unknown
Montelukast;Irbesartan;Unknown
Zafirlukast;Irbesartan;Unknown
Salmeterol;Irbesartan;Unknown
Desloratadine;Irbesartan;Unknown
Irbesartan;Pirbuterol;Unknown
Irbesartan;Tiotropium;Unknown
Irbesartan;Fluticasone;Unknown
Montelukast;Probenecid;Unknown
Salmeterol;Probenecid;Unknown
Probenecid;Promethazine;Unknown
Probenecid;Fluticasone;Unknown
Montelukast;Mercaptopurine;Unknown
Caspofungin;Mercaptopurine;Unknown
Nystatin;Mercaptopurine;Unknown
Mercaptopurine;Dasatinib;Unknown
Montelukast;Tolterodine;Unknown
Triamcinolone;Tolterodine;Unknown
Olopatadine;Tolterodine;Unknown
Desloratadine;Tolterodine;Unknown
Mercaptopurine;Tolterodine;Unknown
Tolterodine;Fluticasone;Unknown
Montelukast;Selegiline;Unknown
Selegiline;Fluticasone;Unknown
Flunisolide;Fenofibrate;Unknown
Lidocaine;Fenofibrate;Unknown
Loratadine;Fenofibrate;Unknown
Triamcinolone;Fenofibrate;Unknown
Hydrocortisone;Fenofibrate;Unknown
Olopatadine;Fenofibrate;Unknown
Pentoxifylline;Fenofibrate;Unknown
Prednisolone;Fenofibrate;Unknown
Salmeterol;Fenofibrate;Unknown
Fexofenadine;Fenofibrate;Unknown
Desloratadine;Fenofibrate;Unknown
Formoterol;Fenofibrate;Unknown
Mercaptopurine;Fenofibrate;Unknown
Fenofibrate;Promethazine;Unknown
Fenofibrate;Pirbuterol;Unknown
Fenofibrate;Tiotropium;Unknown
Fenofibrate;Fluticasone;Unknown
Montelukast;Thalidomide;Unknown
Desloratadine;Thalidomide;Unknown
Thalidomide;Tiotropium;Unknown
Thalidomide;Fluticasone;Unknown
Prednisolone;Melphalan;Unknown
Montelukast;Memantine;Unknown
Triamcinolone;Memantine;Unknown
Olopatadine;Memantine;Unknown
Pentoxifylline;Memantine;Unknown
Salmeterol;Memantine;Unknown
Desloratadine;Memantine;Unknown
Memantine;Tiotropium;Unknown
Memantine;Fluticasone;Unknown
Montelukast;Gatifloxacin;Unknown
Zafirlukast;Gatifloxacin;Unknown
Desloratadine;Gatifloxacin;Unknown
Gatifloxacin;Tiotropium;Unknown
Gatifloxacin;Fluticasone;Unknown
Triamcinolone;Fluocinonide;Unknown
Fluocinonide;Ibuprofen;Unknown
Fluocinonide;Promethazine;Unknown
Fluocinonide;Fluticasone;Unknown
Cetirizine;Abacavir;Unknown
Loratadine;Abacavir;Unknown
Montelukast;Abacavir;Unknown
Hydrocortisone;Abacavir;Unknown
Prednisolone;Abacavir;Unknown
Ketotifen;Abacavir;Unknown
Fexofenadine;Abacavir;Unknown
Salbutamol;Abacavir;Unknown
Cromoglicic acid;Abacavir;Unknown
Abacavir;Ibuprofen;Unknown
Abacavir;Promethazine;Unknown
Abacavir;Budesonide;Unknown
Abacavir;Dexamethasone;Unknown
Abacavir;Fluticasone;Unknown
Goserelin;Ibuprofen;Unknown
Octreotide;Ibuprofen;Unknown
Pravastatin;Ibuprofen;Unknown
Lorazepam;Ibuprofen;Unknown
Bortezomib;Ibuprofen;Unknown
Phentermine;Ibuprofen;Unknown
Tramadol;Ibuprofen;Unknown
Oseltamivir;Ibuprofen;Unknown
Sildenafil;Ibuprofen;Unknown
Dofetilide;Ibuprofen;Unknown
Adapalene;Ibuprofen;Unknown
Midodrine;Ibuprofen;Unknown
Pantoprazole;Ibuprofen;Unknown
Eletriptan;Ibuprofen;Unknown
Lovastatin;Ibuprofen;Unknown
Pregabalin;Ibuprofen;Unknown
Temazepam;Ibuprofen;Unknown
Nevirapine;Ibuprofen;Unknown
Ziprasidone;Ibuprofen;Unknown
Ropinirole;Ibuprofen;Unknown
Topiramate;Ibuprofen;Unknown
Lidocaine;Ibuprofen;Unknown
Acarbose;Ibuprofen;Unknown
Travoprost;Ibuprofen;Unknown
Atomoxetine;Ibuprofen;Unknown
Morphine;Ibuprofen;Unknown
Zolmitriptan;Ibuprofen;Unknown
Gefitinib;Ibuprofen;Unknown
Piperacillin;Ibuprofen;Unknown
Tolcapone;Ibuprofen;Unknown
Methadone;Ibuprofen;Unknown
Olanzapine;Ibuprofen;Unknown
Pimecrolimus;Ibuprofen;Unknown
Omeprazole;Ibuprofen;Unknown
Minoxidil;Ibuprofen;Unknown
Mefloquine;Ibuprofen;Unknown
Sulfadiazine;Ibuprofen;Unknown
Vinorelbine;Ibuprofen;Unknown
Sucralfate;Ibuprofen;Unknown
Levonorgestrel;Ibuprofen;Unknown
Mirtazapine;Ibuprofen;Unknown
Meprobamate;Ibuprofen;Unknown
Trihexyphenidyl;Ibuprofen;Unknown
Palonosetron;Ibuprofen;Unknown
Progesterone;Ibuprofen;Unknown
Sorafenib;Ibuprofen;Unknown
Loxapine;Ibuprofen;Unknown
Mupirocin;Ibuprofen;Unknown
Rosiglitazone;Ibuprofen;Unknown
Pramipexole;Ibuprofen;Unknown
Phenoxymethylpenicillin;Ibuprofen;Unknown
Methylphenidate;Ibuprofen;Unknown
Methocarbamol;Ibuprofen;Unknown
Zolpidem;Ibuprofen;Unknown
Prochlorperazine;Ibuprofen;Unknown
Nitric Oxide;Ibuprofen;Unknown
Allopurinol;Ibuprofen;Unknown
Trimethoprim;Ibuprofen;Unknown
Lansoprazole;Ibuprofen;Unknown
Meperidine;Ibuprofen;Unknown
Loratadine;Ibuprofen;Unknown
Imipramine;Ibuprofen;Unknown
Acitretin;Ibuprofen;Unknown
Montelukast;Ibuprofen;Unknown
Lenalidomide;Ibuprofen;Unknown
Raloxifene;Ibuprofen;Unknown
Entacapone;Ibuprofen;Unknown
Darifenacin;Ibuprofen;Unknown
Oxycodone;Ibuprofen;Unknown
Cisplatin;Ibuprofen;Unknown
Caspofungin;Ibuprofen;Unknown
Erlotinib;Ibuprofen;Unknown
Cefdinir;Ibuprofen;Unknown
Nortriptyline;Ibuprofen;Unknown
Vincristine;Ibuprofen;Unknown
Pyridostigmine;Ibuprofen;Unknown
Zafirlukast;Ibuprofen;Unknown
Lamotrigine;Ibuprofen;Unknown
Zanamivir;Ibuprofen;Unknown
Valaciclovir;Ibuprofen;Unknown
Lactulose;Ibuprofen;Unknown
Linezolid;Ibuprofen;Unknown
Testosterone;Ibuprofen;Unknown
Simvastatin;Ibuprofen;Unknown
Nystatin;Ibuprofen;Unknown
Stavudine;Ibuprofen;Unknown
Latanoprost;Ibuprofen;Unknown
Trazodone;Ibuprofen;Unknown
Sevelamer;Ibuprofen;Unknown
Acamprosate;Ibuprofen;Unknown
Sumatriptan;Ibuprofen;Unknown
Tamoxifen;Ibuprofen;Unknown
Midazolam;Ibuprofen;Unknown
Tizanidine;Ibuprofen;Unknown
Nitrofurantoin;Ibuprofen;Unknown
Tamsulosin;Ibuprofen;Unknown
Lamivudine;Ibuprofen;Unknown
Oxacillin;Ibuprofen;Unknown
Norethisterone;Ibuprofen;Unknown
Adefovir dipivoxil;Ibuprofen;Unknown
Imiquimod;Ibuprofen;Unknown
Trimipramine;Ibuprofen;Unknown
Nitroglycerin;Ibuprofen;Unknown
Risperidone;Ibuprofen;Unknown
Riluzole;Ibuprofen;Unknown
Modafinil;Ibuprofen;Unknown
Scopolamine;Ibuprofen;Unknown
Isoflurane;Ibuprofen;Unknown
Tretinoin;Ibuprofen;Unknown
Tetracycline;Ibuprofen;Unknown
Irinotecan;Ibuprofen;Unknown
Methimazole;Ibuprofen;Unknown
Olopatadine;Ibuprofen;Unknown
Oxcarbazepine;Ibuprofen;Unknown
Primidone;Ibuprofen;Unknown
Ribavirin;Ibuprofen;Unknown
Propofol;Ibuprofen;Unknown
Tadalafil;Ibuprofen;Unknown
Loperamide;Ibuprofen;Unknown
Oxazepam;Ibuprofen;Unknown
Nalbuphine;Ibuprofen;Unknown
Perphenazine;Ibuprofen;Unknown
Temozolomide;Ibuprofen;Unknown
Terbinafine;Ibuprofen;Unknown
Vardenafil;Ibuprofen;Unknown
Isosorbide dinitrate;Ibuprofen;Unknown
Triazolam;Ibuprofen;Unknown
Ondansetron;Ibuprofen;Unknown
Bimatoprost;Ibuprofen;Unknown
Tiagabine;Ibuprofen;Unknown
Zonisamide;Ibuprofen;Unknown
Paricalcitol;Ibuprofen;Unknown
Metronidazole;Ibuprofen;Unknown
Ketotifen;Ibuprofen;Unknown
Misoprostol;Ibuprofen;Unknown
Salmeterol;Ibuprofen;Unknown
Fulvestrant;Ibuprofen;Unknown
Isoniazid;Ibuprofen;Unknown
Naratriptan;Ibuprofen;Unknown
Rizatriptan;Ibuprofen;Unknown
Carboplatin;Ibuprofen;Unknown
Zaleplon;Ibuprofen;Unknown
Desloratadine;Ibuprofen;Unknown
Methyldopa;Ibuprofen;Unknown
Selenium Sulfide;Ibuprofen;Unknown
Ezetimibe;Ibuprofen;Unknown
Telithromycin;Ibuprofen;Unknown
Rivastigmine;Ibuprofen;Unknown
Exemestane;Ibuprofen;Unknown
Frovatriptan;Ibuprofen;Unknown
Cromoglicic acid;Ibuprofen;Unknown
Letrozole;Ibuprofen;Unknown
Cinacalcet;Ibuprofen;Unknown
Minocycline;Ibuprofen;Unknown
Isosorbide mononitrate;Ibuprofen;Unknown
Phylloquinone;Ibuprofen;Unknown
Ketoconazole;Ibuprofen;Unknown
Mercaptopurine;Ibuprofen;Unknown
Tolterodine;Ibuprofen;Unknown
Selegiline;Ibuprofen;Unknown
Thalidomide;Ibuprofen;Unknown
Memantine;Ibuprofen;Unknown
Rifampicin;Ibuprofen;Unknown
Ibuprofen;Oxybutynin;Unknown
Ibuprofen;Promethazine;Unknown
Ibuprofen;Atazanavir;Unknown
Ibuprofen;Tegaserod;Unknown
Ibuprofen;Orlistat;Unknown
Ibuprofen;Pilocarpine;Unknown
Ibuprofen;Rosuvastatin;Unknown
Ibuprofen;Capecitabine;Unknown
Ibuprofen;Miconazole;Unknown
Ibuprofen;Atovaquone;Unknown
Ibuprofen;Dutasteride;Unknown
Ibuprofen;Rabeprazole;Unknown
Ibuprofen;Pioglitazone;Unknown
Ibuprofen;Nefazodone;Unknown
Ibuprofen;Terazosin;Unknown
Ibuprofen;Calcium chloride;Unknown
Ibuprofen;Itraconazole;Unknown
Ibuprofen;Orphenadrine;Unknown
Ibuprofen;Ifosfamide;Unknown
Ibuprofen;Pergolide;Unknown
Ibuprofen;Zopiclone;Unknown
Ibuprofen;Levetiracetam;Unknown
Ibuprofen;Mitoxantrone;Unknown
Ibuprofen;Levobunolol;Unknown
Ibuprofen;Clarithromycin;Unknown
Ibuprofen;Aminophylline;Unknown
Ibuprofen;Quetiapine;Unknown
Ibuprofen;Paclitaxel;Unknown
Ibuprofen;Pemoline;Unknown
Ibuprofen;Saquinavir;Unknown
Ibuprofen;Metoclopramide;Unknown
Ibuprofen;Sevoflurane;Unknown
Ibuprofen;Aripiprazole;Unknown
Ibuprofen;Paliperidone;Unknown
Ibuprofen;Varenicline;Unknown
Ibuprofen;Pirbuterol;Unknown
Ibuprofen;Fosamprenavir;Unknown
Ibuprofen;Fosphenytoin;Unknown
Ibuprofen;Vecuronium;Unknown
Ibuprofen;Sodium bicarbonate;Unknown
Ibuprofen;Tiotropium;Unknown
Ibuprofen;Cefpodoxime;Unknown
Ibuprofen;Acenocoumarol;Unknown
Ibuprofen;Ursodeoxycholic acid;Unknown
Ibuprofen;Quazepam;Unknown
Ibuprofen;Nitrazepam;Unknown
Ibuprofen;Thiothixene;Unknown
Ibuprofen;Ambrisentan;Unknown
Ibuprofen;Clobetasol;Unknown
Ibuprofen;Fluticasone;Unknown
Ibuprofen;Loteprednol etabonate;Unknown
Montelukast;Norfloxacin;Unknown
Norfloxacin;Tiotropium;Unknown
Lidocaine;Amoxicillin;Unknown
Cetirizine;Amoxicillin;Unknown
Loratadine;Amoxicillin;Unknown
Montelukast;Amoxicillin;Unknown
Triamcinolone;Amoxicillin;Unknown
Hydrocortisone;Amoxicillin;Unknown
Prednisolone;Amoxicillin;Unknown
Chlorhexidine;Amoxicillin;Unknown
Salmeterol;Amoxicillin;Unknown
Fexofenadine;Amoxicillin;Unknown
Desloratadine;Amoxicillin;Unknown
Azelastine;Amoxicillin;Unknown
Ibuprofen;Amoxicillin;Unknown
Amoxicillin;Promethazine;Unknown
Amoxicillin;Budesonide;Unknown
Amoxicillin;Dexamethasone;Unknown
Amoxicillin;Tiotropium;Unknown
Amoxicillin;Fluticasone;Unknown
Montelukast;Oxybutynin;Unknown
Zafirlukast;Oxybutynin;Unknown
Triamcinolone;Oxybutynin;Unknown
Olopatadine;Oxybutynin;Unknown
Pentoxifylline;Oxybutynin;Unknown
Prednisolone;Oxybutynin;Unknown
Salmeterol;Oxybutynin;Unknown
Desloratadine;Oxybutynin;Unknown
Oxybutynin;Pirbuterol;Unknown
Oxybutynin;Fluticasone;Unknown
Lidocaine;Glipizide;Unknown
Loratadine;Glipizide;Unknown
Montelukast;Glipizide;Unknown
Zafirlukast;Glipizide;Unknown
Desloratadine;Glipizide;Unknown
Glipizide;Tiotropium;Unknown
Flunisolide;Clonazepam;Unknown
Mupirocin;Clonazepam;Unknown
Loratadine;Clonazepam;Unknown
Montelukast;Clonazepam;Unknown
Zafirlukast;Clonazepam;Unknown
Triamcinolone;Clonazepam;Unknown
Flurbiprofen;Clonazepam;Unknown
Hydrocortisone;Clonazepam;Unknown
Pentoxifylline;Clonazepam;Unknown
Prednisolone;Clonazepam;Unknown
Salmeterol;Clonazepam;Unknown
Fexofenadine;Clonazepam;Unknown
Desloratadine;Clonazepam;Unknown
Formoterol;Clonazepam;Unknown
Cromoglicic acid;Clonazepam;Unknown
Ibuprofen;Clonazepam;Unknown
Clonazepam;Dexamethasone;Unknown
Clonazepam;Pirbuterol;Unknown
Clonazepam;Tiotropium;Unknown
Clonazepam;Fluticasone;Unknown
Eptifibatide;Promethazine;Unknown
Octreotide;Promethazine;Unknown
Bortezomib;Promethazine;Unknown
Sildenafil;Promethazine;Unknown
Eletriptan;Promethazine;Unknown
Zolmitriptan;Promethazine;Unknown
Gefitinib;Promethazine;Unknown
Vinorelbine;Promethazine;Unknown
Treprostinil;Promethazine;Unknown
Zoledronic acid;Promethazine;Unknown
Allopurinol;Promethazine;Unknown
Trimethoprim;Promethazine;Unknown
Montelukast;Promethazine;Unknown
Lenalidomide;Promethazine;Unknown
Raloxifene;Promethazine;Unknown
Zidovudine;Promethazine;Unknown
Vancomycin;Promethazine;Unknown
Cisplatin;Promethazine;Unknown
Caspofungin;Promethazine;Unknown
Erlotinib;Promethazine;Unknown
Rofecoxib;Promethazine;Unknown
Cefdinir;Promethazine;Unknown
Gadoversetamide;Promethazine;Unknown
Vincristine;Promethazine;Unknown
Zafirlukast;Promethazine;Unknown
Bosentan;Promethazine;Unknown
Valaciclovir;Promethazine;Unknown
Valdecoxib;Promethazine;Unknown
Lactulose;Promethazine;Unknown
Sulindac;Promethazine;Unknown
Triamcinolone;Promethazine;Unknown
Oxandrolone;Promethazine;Unknown
Testosterone;Promethazine;Unknown
Simvastatin;Promethazine;Unknown
Pemetrexed;Promethazine;Unknown
Nystatin;Promethazine;Unknown
Stavudine;Promethazine;Unknown
Sevelamer;Promethazine;Unknown
Sumatriptan;Promethazine;Unknown
Aprepitant;Promethazine;Unknown
Warfarin;Promethazine;Unknown
Tobramycin;Promethazine;Unknown
Ibandronate;Promethazine;Unknown
Tretinoin;Promethazine;Unknown
Tetracycline;Promethazine;Unknown
Sulfasalazine;Promethazine;Unknown
Ribavirin;Promethazine;Unknown
Dacarbazine;Promethazine;Unknown
Temozolomide;Promethazine;Unknown
Ranitidine;Promethazine;Unknown
Sirolimus;Promethazine;Unknown
Risedronic acid;Promethazine;Unknown
Almotriptan;Promethazine;Unknown
Misoprostol;Promethazine;Unknown
Fulvestrant;Promethazine;Unknown
Rizatriptan;Promethazine;Unknown
Carboplatin;Promethazine;Unknown
Desloratadine;Promethazine;Unknown
Ezetimibe;Promethazine;Unknown
Balsalazide;Promethazine;Unknown
Mercaptopurine;Promethazine;Unknown
Rifampicin;Promethazine;Unknown
Promethazine;Atazanavir;Unknown
Promethazine;Tegaserod;Unknown
Promethazine;Iloprost;Unknown
Promethazine;Rosuvastatin;Unknown
Promethazine;Capecitabine;Unknown
Promethazine;Atovaquone;Unknown
Promethazine;Dutasteride;Unknown
Promethazine;Rabeprazole;Unknown
Promethazine;Calcium chloride;Unknown
Promethazine;Zopiclone;Unknown
Promethazine;Varenicline;Unknown
Promethazine;Fosamprenavir;Unknown
Promethazine;Sodium bicarbonate;Unknown
Promethazine;Cefpodoxime;Unknown
Promethazine;Ursodeoxycholic acid;Unknown
Promethazine;Ambrisentan;Unknown
Promethazine;Aliskiren;Unknown
Promethazine;Fluticasone;Unknown
Montelukast;Atazanavir;Unknown
Lidocaine;Fludarabine;Unknown
Loratadine;Fludarabine;Unknown
Montelukast;Fludarabine;Unknown
Triamcinolone;Fludarabine;Unknown
Hydrocortisone;Fludarabine;Unknown
Prednisolone;Fludarabine;Unknown
Ibuprofen;Fludarabine;Unknown
Fludarabine;Fluticasone;Unknown
Flunisolide;Atorvastatin;Unknown
Lidocaine;Atorvastatin;Unknown
Cetirizine;Atorvastatin;Unknown
Loratadine;Atorvastatin;Unknown
Montelukast;Atorvastatin;Unknown
Triamcinolone;Atorvastatin;Unknown
Hydrocortisone;Atorvastatin;Unknown
Olopatadine;Atorvastatin;Unknown
Pentoxifylline;Atorvastatin;Unknown
Prednisolone;Atorvastatin;Unknown
Chlorhexidine;Atorvastatin;Unknown
Ketotifen;Atorvastatin;Unknown
Salmeterol;Atorvastatin;Unknown
Fexofenadine;Atorvastatin;Unknown
Desloratadine;Atorvastatin;Unknown
Azelastine;Atorvastatin;Unknown
Formoterol;Atorvastatin;Unknown
Mercaptopurine;Atorvastatin;Unknown
Ibuprofen;Atorvastatin;Unknown
Promethazine;Atorvastatin;Unknown
Atorvastatin;Budesonide;Unknown
Atorvastatin;Pirbuterol;Unknown
Atorvastatin;Tiotropium;Unknown
Atorvastatin;Fluticasone;Unknown
Lidocaine;Etidronic acid;Unknown
Hydrocortisone;Etidronic acid;Unknown
Prednisolone;Etidronic acid;Unknown
Etidronic acid;Tiotropium;Unknown
Etidronic acid;Fluticasone;Unknown
Montelukast;Orlistat;Unknown
Zafirlukast;Orlistat;Unknown
Triamcinolone;Orlistat;Unknown
Olopatadine;Orlistat;Unknown
Prednisolone;Orlistat;Unknown
Salmeterol;Orlistat;Unknown
Desloratadine;Orlistat;Unknown
Promethazine;Orlistat;Unknown
Orlistat;Tiotropium;Unknown
Orlistat;Fluticasone;Unknown
Montelukast;Pilocarpine;Unknown
Triamcinolone;Pilocarpine;Unknown
Prednisolone;Pilocarpine;Unknown
Salmeterol;Pilocarpine;Unknown
Pilocarpine;Fluticasone;Unknown
Montelukast;Iloprost;Unknown
Loratadine;Fluvastatin;Unknown
Montelukast;Fluvastatin;Unknown
Triamcinolone;Fluvastatin;Unknown
Prednisolone;Fluvastatin;Unknown
Ibuprofen;Fluvastatin;Unknown
Promethazine;Fluvastatin;Unknown
Fluvastatin;Tiotropium;Unknown
Fluvastatin;Fluticasone;Unknown
Loratadine;Leflunomide;Unknown
Pentoxifylline;Leflunomide;Unknown
Salmeterol;Leflunomide;Unknown
Desloratadine;Leflunomide;Unknown
Promethazine;Leflunomide;Unknown
Leflunomide;Aminophylline;Unknown
Leflunomide;Tiotropium;Unknown
Leflunomide;Fluticasone;Unknown
Montelukast;Rosuvastatin;Unknown
Montelukast;Capecitabine;Unknown
Desloratadine;Capecitabine;Unknown
Capecitabine;Fluticasone;Unknown
Montelukast;Sertraline;Unknown
Zafirlukast;Sertraline;Unknown
Triamcinolone;Sertraline;Unknown
Desloratadine;Sertraline;Unknown
Neomycin;Sertraline;Unknown
Cromoglicic acid;Sertraline;Unknown
Mercaptopurine;Sertraline;Unknown
Sertraline;Tiotropium;Unknown
Sertraline;Fluticasone;Unknown
Montelukast;Sibutramine;Unknown
Triamcinolone;Sibutramine;Unknown
Desloratadine;Sibutramine;Unknown
Vitamin A;Heparin;Unknown
Flunisolide;Heparin;Unknown
Theophylline;Heparin;Unknown
Lidocaine;Heparin;Unknown
Cetirizine;Heparin;Unknown
Mupirocin;Heparin;Unknown
Nitric Oxide;Heparin;Unknown
Loratadine;Heparin;Unknown
Montelukast;Heparin;Unknown
Triamcinolone;Heparin;Unknown
Bacitracin;Heparin;Unknown
Epinephrine;Heparin;Unknown
Hydrocortisone;Heparin;Unknown
Olopatadine;Heparin;Unknown
Prednisolone;Heparin;Unknown
Chlorhexidine;Heparin;Unknown
Salmeterol;Heparin;Unknown
Fexofenadine;Heparin;Unknown
Desloratadine;Heparin;Unknown
Azelastine;Heparin;Unknown
Formoterol;Heparin;Unknown
Neomycin;Heparin;Unknown
Salbutamol;Heparin;Unknown
Cromoglicic acid;Heparin;Unknown
Mercaptopurine;Heparin;Unknown
Promethazine;Heparin;Unknown
Heparin;Chlorpheniramine;Unknown
Heparin;Budesonide;Unknown
Heparin;Aminophylline;Unknown
Heparin;Dexamethasone;Unknown
Heparin;Pirbuterol;Unknown
Heparin;Tiotropium;Unknown
Heparin;Fluticasone;Unknown
Nitric Oxide;Miconazole;Unknown
Promethazine;Miconazole;Unknown
Miconazole;Fluticasone;Unknown
Lidocaine;Cefuroxime;Unknown
Cetirizine;Cefuroxime;Unknown
Mupirocin;Cefuroxime;Unknown
Nitric Oxide;Cefuroxime;Unknown
Loratadine;Cefuroxime;Unknown
Montelukast;Cefuroxime;Unknown
Triamcinolone;Cefuroxime;Unknown
Hydrocortisone;Cefuroxime;Unknown
Olopatadine;Cefuroxime;Unknown
Prednisolone;Cefuroxime;Unknown
Salmeterol;Cefuroxime;Unknown
Fexofenadine;Cefuroxime;Unknown
Desloratadine;Cefuroxime;Unknown
Formoterol;Cefuroxime;Unknown
Cromoglicic acid;Cefuroxime;Unknown
Mercaptopurine;Cefuroxime;Unknown
Ibuprofen;Cefuroxime;Unknown
Promethazine;Cefuroxime;Unknown
Cefuroxime;Aminophylline;Unknown
Cefuroxime;Dexamethasone;Unknown
Cefuroxime;Tiotropium;Unknown
Cefuroxime;Fluticasone;Unknown
Pravastatin;Chlorpheniramine;Unknown
Fluconazole;Chlorpheniramine;Unknown
Oseltamivir;Chlorpheniramine;Unknown
Indomethacin;Chlorpheniramine;Unknown
Omeprazole;Chlorpheniramine;Unknown
Allopurinol;Chlorpheniramine;Unknown
Lansoprazole;Chlorpheniramine;Unknown
Ritonavir;Chlorpheniramine;Unknown
Vancomycin;Chlorpheniramine;Unknown
Cyclophosphamide;Chlorpheniramine;Unknown
Vincristine;Chlorpheniramine;Unknown
Fluorouracil;Chlorpheniramine;Unknown
Diclofenac;Chlorpheniramine;Unknown
Prednisone;Chlorpheniramine;Unknown
Furosemide;Chlorpheniramine;Unknown
Irinotecan;Chlorpheniramine;Unknown
Etoposide;Chlorpheniramine;Unknown
Prednisolone;Chlorpheniramine;Unknown
Ranitidine;Chlorpheniramine;Unknown
Ondansetron;Chlorpheniramine;Unknown
Famotidine;Chlorpheniramine;Unknown
Fexofenadine;Chlorpheniramine;Unknown
Isoniazid;Chlorpheniramine;Unknown
Carboplatin;Chlorpheniramine;Unknown
Ibuprofen;Chlorpheniramine;Unknown
Chlorpheniramine;Rabeprazole;Unknown
Chlorpheniramine;Paclitaxel;Unknown
Chlorpheniramine;Dexamethasone;Unknown
Montelukast;Nifedipine;Unknown
Zafirlukast;Nifedipine;Unknown
Olopatadine;Nifedipine;Unknown
Salmeterol;Nifedipine;Unknown
Desloratadine;Nifedipine;Unknown
Nifedipine;Tiotropium;Unknown
Nifedipine;Fluticasone;Unknown
Montelukast;Atovaquone;Unknown
Cetirizine;Amiodarone;Unknown
Triamcinolone;Amiodarone;Unknown
Pentoxifylline;Amiodarone;Unknown
Prednisolone;Amiodarone;Unknown
Fexofenadine;Amiodarone;Unknown
Ibuprofen;Amiodarone;Unknown
Amiodarone;Tiotropium;Unknown
Amiodarone;Fluticasone;Unknown
Montelukast;Dutasteride;Unknown
Econazole;Fluticasone;Unknown
Hydrocortisone;Bicalutamide;Unknown
Prednisolone;Bicalutamide;Unknown
Ibuprofen;Bicalutamide;Unknown
Bicalutamide;Dexamethasone;Unknown
Montelukast;Rabeprazole;Unknown
Triamcinolone;Rabeprazole;Unknown
Olopatadine;Rabeprazole;Unknown
Salmeterol;Rabeprazole;Unknown
Desloratadine;Rabeprazole;Unknown
Cromoglicic acid;Rabeprazole;Unknown
Mercaptopurine;Rabeprazole;Unknown
Rabeprazole;Tiotropium;Unknown
Rabeprazole;Fluticasone;Unknown
Montelukast;Pioglitazone;Unknown
Zafirlukast;Pioglitazone;Unknown
